Species,Virus name,Isolate,Accession,Available sequence,Abbrev
Bean golden mosaic virus,bean golden mosaic virus,Brazil/Campinas 1/1978,DNA-A: M88686;DNA-B: M88687,Complete genome,BGMV
Bean golden mosaic virus,bean golden mosaic virus,Brazil/Mac2/2010/Alagoas,DNA-A: JN419006,Complete genome,BGMV/Ala
Bean golden yellow mosaic virus,bean golden yellow mosaic virus,Dominican Republic/1987,DNA-A: L01635;DNA-B: L01636,Complete genome,BGYMV
Bean latent virus,bean latent virus,MX-Nayarit CN30-14,DNA-A: MN158325;DNA-B: MN158326,Complete genome,BLV
Bean leaf crumple virus,bean leaf crumple virus,CO-HA-15,DNA-A: KX857725;DNA-B: KX857726,Complete genome,BLCrV
Bean white chlorosis mosaic virus,bean white chlorosis mosaic virus,JN848772,DNA-A: JN848772;DNA-B: JQ283246,Complete genome,BWCMV
Bean yellow mosaic Mexico virus,bean yellow mosaic Mexico virus,Mexico/06.05.11/2011,DNA-A: FJ944023,Complete genome,BYMMxV
Bhendi yellow vein Bhubhaneswar virus,bhendi yellow vein Bhubhaneswar virus,India/Orissa/2003,DNA-A: FJ589571,Complete genome,BYVBhV
Bhendi yellow vein Haryana virus,bhendi yellow vein Haryana virus,IN-OY76-03,FJ561298,Complete genome,BYVHV
Bhendi yellow vein mosaic Delhi virus,bhendi yellow vein mosaic Delhi virus,IN-OY131-04,FJ515747,Complete genome,BYVMDV
Bhendi yellow vein mosaic virus,bhendi yellow vein mosaic virus,India/Madurai/India,DNA-A: AF241479,Complete genome,BYVMV/IN
Bhendi yellow vein mosaic virus,bhendi yellow vein mosaic virus,India/Maharashtra/NOL751,DNA-A: EU589392,Complete genome,BYVMV
Bhendi yellow vein mosaic virus,bhendi yellow vein mosaic virus,Pakistan/Faisalabad 201/1995/Pakistan,DNA-A: AJ002451,Complete genome,BYVMV
Bhendi yellow vein mosaic virus,bhendi yellow vein mosaic virus,India/Coimbatore 4/2004/Tamil Nadu,DNA-A: FJ179372,Complete genome,BYVMV
Bhendi yellow vein mosaic virus,bhendi yellow vein mosaic virus,India/Thanagan/2005/Thanagan,DNA-A: FJ176235,Complete genome,BYVMV
Bitter gourd yellow mosaic virus,bitter gourd yellow mosaic virus,IN-17,DNA-A: MH481856;DNA-B: MK116876,Complete genome,BgYMV
Blainvillea yellow spot virus,Blainvillea yellow spot virus,Brazil/Coi25/2007,DNA-A: EU710756;DNA-B: EU710757,Complete genome,BlYSV
Blechum interveinal chlorosis virus,Blechum interveinal chlorosis virus,Mexico/Campeche/2011,DNA-A: JX827487;DNA-B: JX827488,Complete genome,BleICV
Blechum yellow vein virus,Blechum yellow vein virus,TW-W1-12,KF446659,Complete genome,BleYVV
Boerhavia yellow spot virus,Boerhavia yellow spot virus,Mexico/Yucatan/2005,DNA-A: EF121755,Complete genome,BoYSV
Cabbage leaf curl Jamaica virus,cabbage leaf curl Jamaica virus,Jamaica/CUc3/2005,DNA-A: DQ178608;DNA-B: DQ178609,Complete genome,CabLCJV
Cabbage leaf curl virus,cabbage leaf curl virus,United States/Florida/1996,DNA-A: U65529;DNA-B: U65530,Complete genome,CabLCV
Capraria yellow spot virus,Capraria yellow spot virus,Mexico/Yucatan/Conkal/2007,DNA-A: KC426927;DNA-B: KC426928,Complete genome,CarYSV
Cassava mosaic Madagascar virus,cassava mosaic Madagascar virus,Madgascar/Toliary/2006,DNA-A: HE617299;DNA-B: HE617300,Complete genome,CMMGV
Catharanthus yellow mosaic virus,Catharanthus yellow mosaic virus,Pakistan/Islamabad/DR151,LK028570,Complete genome,CaYMV
Centrosema yellow spot virus,Centrosema yellow spot virus,Brazil/Car1/2009,DNA-A: JN419002,Complete genome,CeYSV
Chayote yellow mosaic virus,chayote yellow mosaic virus,Nigeria/Ibadan,DNA-A: AJ223191,Complete genome,ChaYMV
Chenopodium leaf curl virus,Chenopodium leaf curl virus,USA/Florida/Citra/2007,HM626515,Complete genome,ChLCV
Chilli leaf curl Ahmedabad virus,chilli leaf curl Ahmedabad virus,IN-Ahm-14,KM880103,Complete genome,ChiLCAV
Chilli leaf curl Bhavanisagar virus,chilli leaf curl Bhavanisagar virus,IN-Bha-10,HM992939,Complete genome,ChiLCBV
Chilli leaf curl Gonda virus,chilli leaf curl Gonda virus,IN-Gon-13,KJ957157,Complete genome,ChiLCGV
Chilli leaf curl India virus,chilli leaf curl India virus,India/2008,DNA-A: FM877858,Complete genome,ChiLCINV
Chilli leaf curl Kanpur virus,chilli leaf curl Kanpur virus,India/Kampur/2008,DNA-A: HM007106,Complete genome,ChiLCKaV
Chilli leaf curl Sri Lanka virus,chilli leaf curl Sri Lanka virus,LK-CL14-09,JN555601,Complete genome,ChiLCSLV
Chilli leaf curl Vellanad virus,chilli leaf curl Vellanad virus,India/Vellanad/2008,DNA-A: HM007121,Complete genome,ChiLCVV
Chilli leaf curl virus,chilli leaf curl virus,Pakistan/Multan/1998/Pakistan,DNA-A: AF336806,Complete genome,ChiLCV/PK
Chilli leaf curl virus,chilli leaf curl virus,India/Amritsar/Papaya/2009/India,DNA-A: GU136803,Complete genome,ChiLCV/IN
Chilli leaf curl virus,chilli leaf curl virus,Bangladesh/Gazipur,DNA-A: AJ875159,Complete genome,ChiLCV
Chilli leaf curl virus,chilli leaf curl virus,India/Chilli/2005/Chilli,DNA-A: DQ673859,Complete genome,ChiLCV/Chi
Chilli leaf curl virus,chilli leaf curl virus,India/Pondalu/Hibiscus/2007/Joydebpur,DNA-A: FJ345402,Complete genome,ChiLCV/JO
Chilli leaf curl virus,chilli leaf curl virus,Pakistan/Khanewal/2004/Khanewal,DNA-A: DQ116878,Complete genome,ChiLCV/Kha
Chino del tomate Amazonas virus,chino del tomate Amazonas virus,Brazil/AM10/2007,DNA-A: HM357461,Complete genome,CdTAV
Chino del tomate virus,chino del tomate virus,Mexico/Sinaloa IC/1983/Tomato,DNA-A: AF101476;DNA-B: AF101478,Complete genome,CdTV/To
Chino del tomate virus,chino del tomate virus,Mexico/Iguala,DNA-A: AY751753,Complete genome,CdTV
Chino del tomate virus,chino del tomate virus,Mexico/Sinaloa/2005/Soybean,DNA-A: DQ347945,Complete genome,CdTV/Sb
Cleome golden mosaic virus,Cleome golden mosaic virus,Brazil/BA 05/2007,DNA-A: HQ396465,Complete genome,CleGMV
Cleome leaf crumple virus,Cleome leaf crumple virus,Brazil/BgV05A.1.C75,DNA-A: JF694461;DNA-B: JF694462,Complete genome,CleLCrV
Clerodendron golden mosaic virus,Clerodendron golden mosaic virus,Vietnam/Sonla/2005,DNA-A: DQ641692;DNA-B: DQ641693,Complete genome,ClGMV
Clerodendron yellow mosaic virus,Clerodendron yellow mosaic virus,India/Iari/2006,EF408037,Complete genome,ClYMV
Clerodendrum golden mosaic China virus,Clerodendrum golden mosaic China virus,China/Fuzhou 7/2007/Fuzon,DNA-A: FJ011668;DNA-B: FJ011669,Complete genome,ClGMCNV/Fu
Clerodendrum golden mosaic China virus,Clerodendrum golden mosaic China virus,China/Jiangsu XY1/2008/Jiangsu,DNA-A: FN396962;DNA-B: FN396963,Complete genome,ClGMCNV/Ji
Clerodendrum golden mosaic Jiangsu virus,Clerodendrum golden mosaic Jiangsu virus,China/Jiangsu XY2/2008,DNA-A: FN396966,Complete genome,ClGMJsV
Cnidoscolus mosaic leaf deformation virus,Cnidoscolus mosaic leaf deformation virus,Brazil-Mes3-2015,DNA-A: KT966771;DNA-B: KT966772,Complete genome,CnMLDV
Coccinia mosaic Tamil Nadu virus,Coccinia mosaic Tamil Nadu virus,India-TDVCoc1-2013,DNA-A: KM244719;DNA-B: KM244718,Complete genome,CMTNV
Common bean mottle virus,common bean mottle virus,Cuba-May6-2014,DNA-A: KX011473;DNA-B: KX011474,Complete genome,CBMoV
Common bean severe mosaic virus,common bean severe mosaic virus,Cuba-May99-2014,DNA-A: KX011475;DNA-B: KX096982,Complete genome,CBSMV
Corchorus golden mosaic virus,Corchorus golden mosaic virus,Vietnam/Hanoi/2005/Hanoi,DNA-A: DQ641688;DNA-B: DQ641689,Complete genome,CoGMV/Ha
Corchorus golden mosaic virus,Corchorus golden mosaic virus,India/Bahraich/2008/India,DNA-A: FJ463902;DNA-B: FJ463901,Complete genome,CoGMV/IN
Corchorus yellow spot virus,Corchorus yellow spot virus,Mexico/Yucatan/2005,DNA-A: DQ875868;DNA-B: DQ875869,Complete genome,CoYSV
Corchorus yellow vein Cuba virus,Corchorus yellow vein Cuba virus,CU-Co705-1-13,DNA-A: MF773912;DNA-B: MF773902,Complete genome,CoYVCUV
Corchorus yellow vein mosaic virus,Corchorus yellow vein mosaic virus,India/Maharashtra/CEA8/2011,KC223600,Complete genome,CoYV
Corchorus yellow vein virus,Corchorus yellow vein virus,Vietnam/Hoa Binh/2000,DNA-A: AY727903;DNA-B: AY727904,Complete genome,CoYVV
Cotton chlorotic spot virus,cotton chlorotic spot virus,Brazil/CampinaGrandeB012/2009,DNA-A: KF358470;DNA-B: KF358471,Complete genome,CoChSpV
Cotton leaf crumple virus,cotton leaf crumple virus,Mexico/Sonora/1991/Arizona,DNA-A: AF480940;DNA-B: AF480941,Complete genome,CLCrV/AZ
Cotton leaf crumple virus,cotton leaf crumple virus,United States/Texas/1991/Texas,DNA-A: AY083351,Complete genome,CLCrV/TX
Cotton leaf curl Alabad virus,cotton leaf curl Alabad virus,Pakistan/Alabad 804a/1996/Alabad,DNA-A: AJ002455,Complete genome,CLCuAlV/Al
Cotton leaf curl Alabad virus,cotton leaf curl Alabad virus,India/Karnal/OY77/Okra/2005/Haryana,DNA-A: GU112081,Complete genome,CLCuAlV/Ha
Cotton leaf curl Alabad virus,cotton leaf curl Alabad virus,India/Karnal/OY81B/Okra/2005/Karnal,DNA-A: GU112004,Complete genome,CLCuAlV/Ka
Cotton leaf curl Alabad virus,cotton leaf curl Alabad virus,Pakistan/Multan/Lobatum/2006/Lobatum,DNA-A: FJ210467,Complete genome,CLCuAlV/Lo
Cotton leaf curl Alabad virus,cotton leaf curl Alabad virus,Pakistan/Multan/Punctatum/2006/Multan,DNA-A: EU384575,Complete genome,CLCuAlV/Mu
Cotton leaf curl Bangalore virus,cotton leaf curl Bangalore virus,India/Bangalore/2004,DNA-A: AY705380,Complete genome,CLCuBaV
Cotton leaf curl Barasat virus,cotton leaf curl Barasat virus,India-2014,DNA-A: LC080677,Complete genome,CLCuBarV
Cotton leaf curl Gezira virus,cotton leaf curl Gezira virus,Sudan/Gezira/1996/Sudan,DNA-A: AF260241,Complete genome,CLCuGeV/SD
Cotton leaf curl Gezira virus,cotton leaf curl Gezira virus,Burkina Faso/Bazega/Okra/2009/Burkina Faso,DNA-A: FN554540,Complete genome,CLCuGeV/BF
Cotton leaf curl Gezira virus,cotton leaf curl Gezira virus,Egypt/Cairo/Hollyhock/Cairo,AJ542539,Complete genome,CLCuGeV/Ca
Cotton leaf curl Gezira virus,cotton leaf curl Gezira virus,Cameroon/Muea/Okra/2008/Cameroon,FM210276,Complete genome,CLCuGeV/CM
Cotton leaf curl Gezira virus,cotton leaf curl Gezira virus,Egypt/Aswan/Okra/Egypt,DNA-A: AF155064,Complete genome,CLCuGeV/EG
Cotton leaf curl Gezira virus,cotton leaf curl Gezira virus,Egypt/Giza/Hollyhock/Hollyhock,AF014881,Complete genome,CLCuGeV/Ho
Cotton leaf curl Gezira virus,cotton leaf curl Gezira virus,Cameroon/Lysoka11/Okra/2008/Lysoka,FM164726,Complete genome,CLCuGeV/Ly
Cotton leaf curl Gezira virus,cotton leaf curl Gezira virus,Madagascar/Fort Dauphin/bean/2001/Madagascar,AM701757,Complete genome,CLCuGeV/MG
Cotton leaf curl Gezira virus,cotton leaf curl Gezira virus,Mali/Bamako/Okra/2006/Mali,EU024120,Complete genome,CLCuGeV/ML
Cotton leaf curl Gezira virus,cotton leaf curl Gezira virus,Niger/Niamey2/Okra/2007/Niger,DNA-A: EU432373,Complete genome,CLCuGeV/NE
Cotton leaf curl Gezira virus,cotton leaf curl Gezira virus,Sudan/Okra/2007/Okra,DNA-A: FJ868828,Complete genome,CLCuGeV/Ok
Cotton leaf curl Kokhran virus,cotton leaf curl Kokhran virus,Pakistan/Manisal 806b/1996/Kokhran,DNA-A: AJ002449,Complete genome,CLCuKoV/Ko
Cotton leaf curl Kokhran virus,cotton leaf curl Kokhran virus,Pakistan/Vehari/2006/Burewala,AM421522,Complete genome,CLCuKoV/Bu
Cotton leaf curl Kokhran virus,cotton leaf curl Kokhran virus,Pakistan/Layyah/2011/Layyah,HF549182,Complete genome,CLCuKoV/La
Cotton leaf curl Kokhran virus,cotton leaf curl Kokhran virus,India/Lucknow/Cyamopsis tetragonoloba/Bean/2010/Lucknow,DNA-A: GU385879,Complete genome,CLCuKoV/Lu
Cotton leaf curl Kokhran virus,cotton leaf curl Kokhran virus,Pakistan/Shadadpur/2005/Shadadpur,FN552001,Complete genome,CLCuKoV/Sha
Cotton leaf curl Multan virus,cotton leaf curl Multan virus,Pakistan/Multan/Darwinii 1/2006/Darwinii,DNA-A: EU365613,Complete genome,CLCuMuV/Dar
Cotton leaf curl Multan virus,cotton leaf curl Multan virus,Pakistan/Yazman 62/1995/Faisalabad,DNA-A: AJ002447,Complete genome,CLCuMuV/Fai
Cotton leaf curl Multan virus,cotton leaf curl Multan virus,India/Hibiscus1/2011/Hibiscus,DNA-A: JN807763,Complete genome,CLCuMuV/Hib
Cotton leaf curl Multan virus,cotton leaf curl Multan virus,Pakistan/Multan/H65/1/1997/Hisar,AJ132430,Complete genome,CLCuMuV/His
Cotton leaf curl Multan virus,cotton leaf curl Multan virus,Pakistan/Multan/Davidsonii/2006/Pakistan,DNA-A: EU365616,Complete genome,CLCuMuV/PK
Cotton leaf curl Multan virus,cotton leaf curl Multan virus,India/Sriganganagar/1994/Rajasthan,DNA-A: AF363011,Complete genome,CLCuMuV/Ra
Cotton yellow mosaic virus,cotton yellow mosaic virus,Benin-Gos_San2-2014,DNA-A: KU683748;DNA-B: KU683750,Complete genome,CYMV
Cowpea bright yellow mosaic virus,cowpea bright yellow mosaic virus,BR-PE–088-11,DNA-A: MH469731;DNA-B: MH469732,Complete genome,CoBYMV
Cowpea golden mosaic virus,cowpea golden mosaic virus,Nigeria/Nsukka/1990,DNA-A: AF029217,Complete genome,CPGMV
Crassocephalum yellow vein virus,Crassocephalum yellow vein virus,China/Jinhong/2005,EF165536,Complete genome,CraYVV
Croton golden mosaic virus,Croton golden mosaic virus,CO-Fl_Va-14,DNA-A: KX156613;DNA-B: KX156614,Complete genome,CroGMV
Croton yellow vein mosaic virus,croton yellow vein mosaic virus,India,AJ507777,Complete genome,CroYVMV
Cucumber chlorotic leaf virus,cucumber chlorotic leaf virus,MX-Colima-18,DNA-A: MN013786;DNA-B: MN013787,Complete genome,CuChLV
Cucurbit leaf crumple virus,cucurbit leaf crumple virus,United States/Arizona/1991,DNA-A: AF224760;DNA-B: AF224761,Complete genome,CuLCrV
Dalechampia chlorotic mosaic virus,Dalechampia chlorotic mosaic virus,Venezuela/Albarico1020/2007,DNA-A: JN848775;DNA-B: JN848776,Complete genome,DaChMV
Datura leaf curl virus,Datura leaf curl virus,SD- Kha435-16,MF402918,Complete genome,DaLCV
Datura leaf distortion virus,Datura leaf distortion virus,Venezuela/Rubio 933/2007,DNA-A: JN848773;DNA-B: JN848774,Complete genome,DaLDV
Deinbollia mosaic virus,Deinbollia mosaic virus,Tanzania-DB_T1A-2015,DNA-A: KT878829;DNA-B: KT878828,Complete genome,DMV
Desmodium leaf distortion virus,Desmodium leaf distortion virus,Mexico/Yucatan/2005,DNA-A: DQ875870;DNA-B: DQ875871,Complete genome,DesLDV
Desmodium mottle virus,Desmodium mottle virus,Uganda-Ki_UG5-2015,DNA-A: KY294725;DNA-B: KY294727,Complete genome,DesMoV
Dicliptera yellow mottle Cuba virus,Dicliptera yellow mottle Cuba virus,Cuba,DNA-A: AJ549960,Complete genome,DiYMCUV
Dicliptera yellow mottle virus,Dicliptera yellow mottle virus,United States/Florida/1998,DNA-A: AF139168;DNA-B: AF170101,Complete genome,DiYMoV
Dolichos yellow mosaic virus,Dolichos yellow mosaic virus,Bangladesh/Gazipur,DNA-A: AY271891,Complete genome,DoYMV
Duranta leaf curl virus,Duranta leaf curl virus,Pakistan-57SA-2014,DNA-A: KT948069,Complete genome,DuLCV
East African cassava mosaic Cameroon virus,East African cassava mosaic Cameroon virus,Cameroon/1998,DNA-A: AF112354;DNA-B: AF112355,Complete genome,EACMCMV
East African cassava mosaic Kenya virus,East African cassava mosaic Kenya virus,Kenya/Mitaboni/K298/2002,DNA-A: AJ717572;DNA-B: AJ704971,Complete genome,EACMKV
East African cassava mosaic Malawi virus,East African cassava mosaic Malawi virus,Malawi/K/1996,DNA-A: AJ006460,Complete genome,EACMMV
East African cassava mosaic virus,East African cassava mosaic virus,Uganda/Severe 2/1997/Uganda,DNA-A: AF126806;DNA-B: AF126807,Complete genome,EACMV/UG
East African cassava mosaic virus,East African cassava mosaic virus,Kenya/Boa/K48/2001/Kenya,DNA-A: AJ717542;DNA-B: AJ704949,Complete genome,EACMV/KE
East African cassava mosaic virus,East African cassava mosaic virus,Malawi/8N/2007/Malawi,JX473582,Complete genome,EACMV/MW
East African cassava mosaic virus,East African cassava mosaic virus,Tanzania/1/2001/Tanzania,DNA-A: AY795983;DNA-B: AY795989,Complete genome,EACMV/TZ
East African cassava mosaic Zanzibar virus,East African cassava mosaic Zanzibar virus,Tanzania/Uguja/1998,DNA-A: AF422174;DNA-B: AF422175,Complete genome,EACMZV
Eclipta yellow vein virus,Eclipta yellow vein virus,IN-WOK44-14,KT390456,Complete genome,EYVV
Emilia yellow vein Fujian virus,Emilia yellow vein Fujian virus,CN-Fj-Zz01-17,MH035670,Complete genome,EYVFjV
Emilia yellow vein Thailand virus,Emilia yellow vein Thailand virus,TH-4872_6-15,KY373213,Complete genome,EYVTHV
Emilia yellow vein virus,Emilia yellow vein virus,China/Fuzhou 1/2007,EU377539,Complete genome,EYVV
Erectites yellow mosaic virus,Erectites yellow mosaic virus,Vietnam/Hoabinh/2005,DNA-A: DQ641698,Complete genome,ErYMV
Eupatorium yellow vein mosaic virus,Eupatorium yellow vein mosaic virus,Japan/SOJ3/2000,AJ438937,Complete genome,EpYVMV
Eupatorium yellow vein virus,Eupatorium yellow vein virus,Japan/Kumamoto/A,AB007990,Complete genome,EpYVV/A
Eupatorium yellow vein virus,Eupatorium yellow vein virus,Japan/MNS2/2000/B,AJ438936,Complete genome,EpYVV/B
Eupatorium yellow vein virus,Eupatorium yellow vein virus,Japan/Yamaguchi/C,AB079766,Complete genome,EpYVV/C
Eupatorium yellow vein virus,Eupatorium yellow vein virus,Japan/Suya/2007/D,DNA-A: AB300463,Complete genome,EpYVV/D
Eupatorium yellow vein virus,Eupatorium yellow vein virus,Japan/Kagawa/Tomato/1997/E,AB433979,Complete genome,EpYVV/E
Euphorbia leaf curl Guangxi virus,Euphorbia leaf curl Guangxi virus,China/Guangxi 35/1/2002,AM411424,Complete genome,EuLCGxV/A
Euphorbia leaf curl virus,Euphorbia leaf curl virus,China/Guangxi 35/2002,DNA-A: AJ558121,Complete genome,EuLCuV
Euphorbia mosaic Peru virus,Euphorbia mosaic Peru virus,Peru-2007,DNA-A: AM886131,Complete genome,EuMPV
Euphorbia mosaic virus,Euphorbia mosaic virus,Mexico/Yucatan/2004,DNA-A: DQ318937;DNA-B: DQ318938,Complete genome,EuMV
Euphorbia yellow leaf curl virus,Euphorbia yellow leaf curl virus,Pakistan-PK1A-2012,KT159766,Complete genome,EuYLCV
Euphorbia yellow mosaic virus,Euphorbia yellow mosaic virus,Brazil/2008,DNA-A: FJ619507;DNA-B: FJ619508,Complete genome,EuYMV
Euphorbia yellow mosaic virus,Euphorbia yellow mosaic virus,Brazil/GO/Luziania 8675/2009/Goiás,DNA-A: JF756676,Complete genome,EuYMV
French bean leaf curl virus,French bean leaf curl virus,India/Kanpur/2011,DNA-A: JQ866297,Complete genome,FbLCV
Hedyotis uncinella yellow mosaic virus,Hedyotis uncinella yellow mosaic virus,Vietnam/VN1,DNA-A: KF429251,Complete genome,HeuYMV
Hemidesmus yellow mosaic virus,Hemidesmus yellow mosaic virus,India/Tirupati/H1/2012,DNA-A: KC898543,Complete genome,HemYMV
Hibiscus golden mosaic virus,Hibiscus golden mosaic virus,BR-IgM1-16,DNA-A: MK558061;DNA-B: MK558062,Complete genome,HGMV
Hibiscus yellow vein leaf curl virus,Hibiscus yellow vein leaf curl virus,TW-HibA_1-13,MF140451,Complete genome,HYVLCV
Hollyhock leaf curl virus,hollyhock leaf curl virus,Pakistan/Faisalabad/20/4/06,FR772082,Complete genome,HoLCV
Hollyhock yellow vein mosaic virus,hollyhock yellow vein mosaic virus,IN-Luc-11,JQ911766,Complete genome,HoYVMV
Hollyhock yellow vein virus,hollyhock yellow vein virus,IN-ND-VIRO 881-16,MG373552,Complete genome,HoYVV
Honeysuckle yellow vein virus,honeysuckle yellow vein virus,UK/Norwich 1/1999/UK,AJ542540,Complete genome,HYVV/UK
Honeysuckle yellow vein virus,honeysuckle yellow vein virus,Australia/Ayr/BRIP57501/1983,DNA-A: JX416174,Complete genome,HYVV
Honeysuckle yellow vein virus,honeysuckle yellow vein virus,Japan/Fukuoka 1/A,AB178945,Complete genome,HYVV/A
Honeysuckle yellow vein virus,honeysuckle yellow vein virus,Japan/Yamaguchi/C,AB079765,Complete genome,HYVV/C
Honeysuckle yellow vein virus,honeysuckle yellow vein virus,Japan/Nara 2/2006/D,AB287441,Complete genome,HYVV/D
Honeysuckle yellow vein virus,honeysuckle yellow vein virus,Japan/Nara 1/2006/E,AB287440,Complete genome,HYVV/E
Honeysuckle yellow vein virus,honeysuckle yellow vein virus,Japan/Ibaraki/Honeysucke/2006/Ibaraki,AB287439,Complete genome,HYVV/Iba
Honeysuckle yellow vein virus,honeysuckle yellow vein virus,Japan/Sapporo 1/2000/Japan,AB182261,Complete genome,HYVV/JR
Honeysuckle yellow vein virus,honeysuckle yellow vein virus,South Korea/Jeju 138/Tomato/2008/Jeju,HM164545,Complete genome,HYVV/Je
Honeysuckle yellow vein virus,honeysuckle yellow vein virus,Japan/Hyogo 12/2000/Kobe,AB178946,Complete genome,HYVV/Kob
Honeysuckle yellow vein virus,honeysuckle yellow vein virus,Japan/Kochi/Tomato/2000/Kochi,AB055009,Complete genome,HYVV/Koc
Honeysuckle yellow vein virus,honeysuckle yellow vein virus,Japan/Masuda/2006/Mas,AB236325,Complete genome,HYVV/Mas
Honeysuckle yellow vein virus,honeysuckle yellow vein virus,Japan/Nara3/2001/Nara,AB079689,Complete genome,HYVV/Nar
Honeysuckle yellow vein virus,honeysuckle yellow vein virus,South Korea/2007/South Korea 1,FJ434943,Complete genome,HYVV/KR1
Honeysuckle yellow vein virus,honeysuckle yellow vein virus,South Korea/KJ/Tomato/2007/South Korea 2,HM164547,Complete genome,HYVV/KR2
